name,example_value
INST_PARAM_PU_UDP3_NET,Main net
INST_PARAM_PU_UDP3_PORT,0
INST_PARAM_PU_UDP4_NET,Main net
INST_PARAM_PU_UDP4_PORT,0
INST_PARAM_PU_UDP5_NET,Main net
INST_PARAM_PU_UDP5_PORT,0
INST_PARAM_PU_MCAST1_ADDR,224.0.0.1
INST_PARAM_PU_MCAST1_PORT,6081
INST_PARAM_PU_MCAST1_NET,Main net
INST_PARAM_PU_MCAST2_ADDR,224.0.0.1
INST_PARAM_PU_MCAST2_PORT,6082
INST_PARAM_PU_MCAST2_NET,Main net
INST_PARAM_PU_MCAST3_ADDR,224.0.0.1
INST_PARAM_PU_MCAST3_PORT,6083
INST_PARAM_PU_MCAST3_NET,Main net
INST_PARAM_PU_MCAST4_ADDR,224.0.0.1
INST_PARAM_PU_MCAST4_PORT,6084
INST_PARAM_PU_MCAST4_NET,Main net
INST_PARAM_PU_MCAST5_ADDR,224.0.0.1
INST_PARAM_PU_MCAST5_PORT,6085
INST_PARAM_PU_MCAST5_NET,Main net
INST_PARAM_PU_COM1_BAUD,19200
INST_PARAM_PU_COM1_DATA,8
INST_PARAM_PU_COM1_STOP,1
INST_PARAM_PU_COM1_PAR,None
INST_PARAM_PU_COM1_INT,RS232
INST_PARAM_PU_COM2_BAUD,19200
INST_PARAM_PU_COM2_DATA,8
INST_PARAM_PU_COM2_STOP,1
INST_PARAM_PU_COM2_PAR,None
INST_PARAM_PU_COM2_INT,RS232
INST_PARAM_PU_COM3_BAUD,19200
INST_PARAM_PU_COM3_DATA,8
INST_PARAM_PU_COM3_STOP,1
INST_PARAM_PU_COM3_PAR,None
INST_PARAM_PU_COM3_INT,RS232
INST_PARAM_PU_COM4_BAUD,19200
INST_PARAM_PU_COM4_DATA,8
INST_PARAM_PU_COM4_STOP,1
INST_PARAM_PU_COM4_PAR,None
INST_PARAM_PU_COM4_INT,RS232
INST_PARAM_PU_CLOCK_INPUT,Serial port 1
INST_PARAM_PU_CLOCK_FORMAT,ZDA
INST_PARAM_PU_CLOCK_SOURCE,Time datagram
INST_PARAM_PU_CLOCK_OFFSET,
INST_PARAM_PU_CLOCK_EDGE,Off
INST_PARAM_PU_POS1_INPUT,Serial port 1
INST_PARAM_PU_POS1_FORMAT,GGA
INST_PARAM_PU_POS1_X,0
INST_PARAM_PU_POS1_Y,0
INST_PARAM_PU_POS1_Z,0
INST_PARAM_PU_POS1_DELAY,0
INST_PARAM_PU_POS1_TIME,System
INST_PARAM_PU_POS1_CORR,0
INST_PARAM_PU_POS1_DAT,WGS84
INST_PARAM_PU_POS1_QAUL,Off
INST_PARAM_PU_POS2_INPUT,No
INST_PARAM_PU_POS2_X,0
INST_PARAM_PU_POS2_Y,0
INST_PARAM_PU_POS2_Z,0
INST_PARAM_PU_POS2_DELAY,0
INST_PARAM_PU_POS2_DAT,WGS84
INST_PARAM_PU_POS2_TIME,System
INST_PARAM_PU_POS2_CORR,0
INST_PARAM_PU_POS2_FORMAT,GGA
INST_PARAM_PU_POS2_QAUL,Off
INST_PARAM_PU_POS3_X,0
INST_PARAM_PU_POS3_Y,0
INST_PARAM_PU_POS3_Z,0
INST_PARAM_PU_POS3_DELAY,0
INST_PARAM_PU_POS3_DAT,WGS84
INST_PARAM_PU_POS3_TIME,System
INST_PARAM_PU_POS3_CORR,0
INST_PARAM_PU_POS3_FORMAT,GGA
INST_PARAM_PU_POS3_QAUL,Off
INST_PARAM_PU_POS3_INPUT,No
INST_PARAM_PU_ATT1_X,0
INST_PARAM_PU_ATT1_Y,0
INST_PARAM_PU_ATT1_Z,0
